@relation '12168104L2_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.supervised.attribute.Discretize-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-R5,7,6,8,2,3'

@attribute miesieczny_dochod_netto {'\'(-inf-575]\'','\'(575-inf)\''}
@attribute okres_w_jakim_pobierał_dochód {'\'(-inf-4.5]\'','\'(4.5-inf)\''}
@attribute ktore_rolowanie {'\'(-inf-0.5]\'','\'(0.5-inf)\''}
@attribute okres_w_jakim_będzie_pobierał_dochód {'\'(-inf-24.5]\'','\'(24.5-inf)\''}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute płeć {kobieta,mężczyzna}

@data
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(-inf-30.4]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',mężczyzna
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(-inf-575]\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(-inf-575]\'','\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(67.6-inf)\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(-inf-0.5]\'','\'(-inf-24.5]\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(-inf-4.5]\'','\'(0.5-inf)\'','\'(-inf-24.5]\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(67.6-inf)\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(-inf-30.4]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(-inf-0.5]\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(42.8-55.2]\'',mężczyzna
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(30.4-42.8]\'',kobieta
'\'(575-inf)\'','\'(4.5-inf)\'','\'(0.5-inf)\'','\'(24.5-inf)\'','\'(55.2-67.6]\'',mężczyzna
